Provincia;Localidad;Denominación genérica;Denominación específica;Código;Naturaleza;Domicilio;C. Postal;Teléfono
Madrid;Madrid;Instituto de Educación Secundaria;FRANCISCO DE QUEVEDO;28044902;Centro público;CALLE de San Román del Valle s/n;28037;913065604
Madrid;Madrid;Instituto de Educación Secundaria;ISLAS FILIPINAS;28038379;Centro público;CALLE de Jesús Maestro 3;28003;915544349
Madrid;Madrid;Instituto de Educación Secundaria;JUAN DE LA CIERVA;28020910;Centro público;CALLE de La Caoba 1;28005;915064610
Madrid;Madrid;Instituto de Educación Secundaria;LEONARDO DA VINCI;28031002;Centro público;CALLE del General Romero Basart 90;28044;917064970
Madrid;Madrid;Instituto de Educación Secundaria;LOPE DE VEGA;28019889;Centro público;CALLE de San Bernardo 70;28015;915321362
Madrid;Madrid;Instituto de Educación Secundaria;MIRASIERRA;28038355;Centro público;CALLE de la Portera del Cura 4;28034;917346532
Madrid;Madrid;Instituto de Educación Secundaria;ORTEGA Y GASSET;28018381;Centro público;CALLE SANTA FE 4;28008;915476635
Madrid;Madrid;Instituto de Educación Secundaria;PACIFICO;28021252;Centro público;CALLE de Luis Mitjans 41;28007;915523979
Madrid;Madrid;Instituto de Educación Secundaria;PALOMERAS-VALLECAS;28021549;Centro público;CALLE de la Arboleda s/n;28031;913314503
Madrid;Madrid;Instituto de Educación Secundaria;PIO BAROJA;28020715;Centro público;CALLE de Tolosa 2;28041;913412613
Madrid;Madrid;Instituto de Educación Secundaria;ROSA CHACEL;28037028;Centro público;CALLE de Abizanda 70;28033;913821905
Madrid;Madrid;Instituto de Educación Secundaria;SAN BLAS;28020570;Centro público;CALLE de Arcos de Jalón 120;28037;913061148
Madrid;Madrid;Instituto de Educación Secundaria;TETUAN DE LAS VICTORIAS;28020831;Centro público;CALLE Vía Límite 14;28029;913146706
Madrid;Madrid;Instituto de Educación Secundaria;VILLABLANCA;28039891;Centro público;CALLE de Villablanca 79;28032;917752214
Madrid;Madrid;Instituto de Educación Secundaria;VILLAVERDE;28062126;Centro público;CALLE de la Alianza 20-24;28041;917239181
Madrid;Madrid;Instituto de Educación Secundaria;VIRGEN DE LA PALOMA;28020341;Centro público;CALLE de Francos Rodríguez 106;28039;913980300
